word_type,matched,letter_in_main_word,word_wanted,lenth_words
make ,5,28,make your own neural network,5
mathmatics for ,15,57,mathematics for 3d game programming and computer graphics,15
tr jan and vr ori  ,19,50,"introductory macroeconomics (t.r. jain , v.k. ori)",19
efactive python spacific ways for ,34,57,effective python: 59 specific ways to write better python,34
mare your own nwu,17,75,make your own neural network: an in-depth visual introduction for beginners,17
dble enry book,14,85,double entry book keeping accounting for not profit organisation and partnership firm,14
math,4,39,from mathematics to generic programming,4
for g in rane ,13,24,modern operating systems,14
gar,3,23,gardience of the galaxy,3
narval future fight ,19,18,marvel futer fight,20
marvel ,7,19,marvel future fight,7
narvel fut,9,19,marvel future fight,10
narval future fi,16,45,blueprints visual scripting for unreal engine,16
naval future fig,15,19,marvel future fight,16
thik lik,8,68,think like a programmer: an introduction to creative problem solving,8
think ,6,68,think like a programmer: an introduction to creative problem solving,6
wab designing,12,44,responsive web design overview for beginners,13
accounting of,13,50,double entry book keeping accounting for companies,13
phoenix proj,12,76,"the phoenix project: a novel about it, devops, and helping your business win",12
my adventure godt in the wir,28,67,ghost in the wires: my adventures as the world's most wanted hacker,28
make,4,28,make your own neural network,4
makr,4,28,make your own neural network,4
make,4,28,make your own neural network,4
how google works,16,16,how google works,16
algorithms,10,10,algorithms,10
algorithms,9,42,sams teach yourself javascript in 24 hours,10
dep,3,13,deep learning,3
game cqda caub,13,63,zx spectrum games code club: twenty fun games to code and learn,14
code and learn code c,21,63,zx spectrum games code club: twenty fun games to code and learn,21
artificial m,12,42,artificial intelligence: a modern approach,12
an object orinted,17,53,file structures: an object-oriented approach with c++,17
hgh,3,16,hacker's delight,3
mashine,6,16,machine learning,7
goagle ,7,25,how google tests software,7
ml,2,16,machine learning,2
functional programming in,25,38,introduction to functional programming,25
how every thing is liked to every thing ,40,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",40
dfdgdgfdgdgfd,13,101,debugging: the 9 indispensable rules for finding even the most elusive software and hardware problems,13
pphp,4,15,programming php,4
python ga,9,33,making games with python & pygame,9
aygame,6,33,making games with python & pygame,6
visual introduction for bi,26,75,make your own neural network: an in-depth visual introduction for beginners,26
adventure in simle and compl,28,66,the quark and the jaguar: adventures in the simple and the complex,28
tr ja,5,50,"introductory macroeconomics (t.r. jain , v.k. ori)",5
u,1,15,unity in action,1
1,1,65,"the art of computer programming, volume 1: fundamental algorithms",1
1,1,18,game engine gems 1,1
double ,7,85,double entry book keeping accounting for not profit organisation and partnership firm,7
doubl,5,50,double entry book keeping accounting for companies,5
l,1,64,learn java the easy way : a hands-on introduction to programming,1
pr,2,18,programming pearls,2
tr.,3,50,"introductory macroeconomics (t.r. jain , v.k. ori)",3
dou,3,48,double entry book keeping (finencial accounting),3
pro,3,18,programming pearls,3
bigg,4,16,beginning java 2,4
java,4,16,beginning java 2,4
beginning java,13,45,blueprints visual scripting for unreal engine,14
y,1,18,basic proof theory,1
hjh,3,73,effective javascript: 68 specific ways to harness the power of javascript,3
ghg,3,23,coding games in scratch,3
ghgh,4,33,making games with python & pygame,4
g,1,67,ghost in the wires: my adventures as the world's most wanted hacker,1
dabl,4,48,double entry book keeping (finencial accounting),4
ma,2,75,make your own neural network: an in-depth visual introduction for beginners,2
marke ,6,28,make your own neural network,6
mak,3,28,make your own neural network,3
d,1,18,doing data science,1
python,6,24,python for data analysis,6
big,3,73,big data: principles and best practices of scalable realtime data systems,3
,0,56,the hidden connections: a science for sustainable living,0
,0,63,zx spectrum games code club: twenty fun games to code and learn,0
ta,2,13,the rails way,2
,0,65,start with why: how great leaders inspire everyone to take action,0
go,2,10,algorithms,2
algori,6,19,algorithms unlocked,6
c++,3,10,c++ primer,3
marv,4,19,marvel future fight,4
c++,3,10,c++ primer,3
ma,2,19,marvel future fight,2
:the,4,23,css: the missing manual,4
make,4,28,make your own neural network,4
spactum games code c,20,63,zx spectrum games code club: twenty fun games to code and learn,20
f,1,31,functional programming in scala,1
f,1,31,functional programming in scala,1
joel,4,16,joel on software,4
double entry,12,48,double entry book keeping (finencial accounting),12
jole,4,16,joel on software,4
fr,2,18,the joy of clojure,2
ftty,4,36,working effectively with legacy code,4
zx,2,63,zx spectrum games code club: twenty fun games to code and learn,2
algo,4,62,algorithms to live by: the computer science of human decisions,4
make,4,75,make your own neural network: an in-depth visual introduction for beginners,4
c++,3,10,c++ primer,3
agile,5,51,agile web development with rails: a pragmatic guide,5
spectum gamas,13,63,zx spectrum games code club: twenty fun games to code and learn,13
p,1,102,python programming books set: python programming for beginners & complete guide for python programming,1
twenty fauk game,15,63,zx spectrum games code club: twenty fun games to code and learn,16
tr jon and ,11,50,"introductory macroeconomics (t.r. jain , v.k. ori)",11
joy,3,18,the joy of clojure,3
the joy of clojur,17,79,geometric algebra for computer science: an object-oriented approach to geometry,17
,0,86,weapons of math destruction: how big data increases inequality and threatens democracy,0
t.r,3,90,"framework design guidelines: conventions, idioms, and patterns for reusable .net libraries",3
how ,4,16,how google works,4
how,3,16,how google works,3
file ,5,53,file structures: an object-oriented approach with c++,5
