Book no,Book_title,Number_Of_Pages,Type,Price,Book Detail,Status
2412,The elements of style,105,Hardcover,9.323529412,computer science,available
2413,"The information: a history, a theory, a flood",527,Hardcover,11.0,computer science,available
2414,Responsive web design overview for beginners,50,Kindle Edition,11.26764706,computer science,available
2415,Ghost in the wires: my adventures as the world's most wanted hacker,393,Hardcover,12.87352941,computer science,available
2416,How google works,305,Kindle Edition,13.16470588,computer science,Issued
2417,The meme machine,288,Paperback,14.18823529,computer science,available
2418,Start with why: how great leaders inspire everyone to take action,256,Hardcover,14.23235294,computer science,available
2419,Algorithms to live by: the computer science of human decisions,368,Hardcover,14.36470588,computer science,available
2420,Weapons of math destruction: how big data increases inequality and threatens democracy,259,Hardcover,14.50294118,computer science,available
2421,Zx spectrum games code club: twenty fun games to code and learn,128,Paperback,400.0,computer science,Issued
2422,Sync: the emerging science of spontaneous order,352,Hardcover,15.22941176,computer science,available
2423,The master algorithm: how the quest for the ultimate learning machine will remake our world,352,Hardcover,15.22941176,computer science,available
2424,"Superintelligence: paths, dangers, strategies",328,Hardcover,15.68235294,computer science,available
2425,"The art of the start: the time-tested, battle-hardened guide for anyone starting anything",240,Hardcover,15.88529412,computer science,available
2426,Kingpin: how one hacker took over the billion-dollar cybercrime underground,288,Hardcover,16.07352941,computer science,Issued
2427,The quark and the jaguar: adventures in the simple and the complex,392,Paperback,16.36764706,computer science,available
2428,"Linked: how everything is connected to everything else and what it means for business, science, and everyday life",304,Paperback,16000.0,computer science,available
2429,Our final invention: artificial intelligence and the end of the human era,336,Hardcover,16.89117647,computer science,available
2430,"The innovators: how a group of hackers, geniuses and geeks created the digital revolution",542,Hardcover,17.22941176,computer science,available
2431,Debugging: the 9 indispensable rules for finding even the most elusive software and hardware problems,192,Paperback,17.49117647,computer science,available
2432,"Big data: a revolution that will transform how we live, work, and think",242,Hardcover,17.62058824,computer science,available
2433,Help your kids with computer coding,224,Paperback,18.93823529,computer science,available
2434,The code book: the science of secrecy from ancient egypt to quantum cryptography,412,Paperback,19.13235294,computer science,available
2435,Game programming golden rules,318,Paperback,19.15294118,computer science,available
2436,The architecture of open source applications,432,Paperback,19.24705882,computer science,available
2437,How to create a mind: the secret of human thought revealed,336,Hardcover,19.85588235,computer science,available
2438,The hidden connections: a science for sustainable living,320,Paperback,20.05294118,computer science,available
2439,Computability and unsolvability,288,Paperback,20.4,computer science,available
2440,Adventures in minecraft,320,Paperback,21.03823529,computer science,available
2441,Coding games in scratch,224,Paperback,21.08823529,computer science,available
2442,Expert c programming: deep c secrets,384,Paperback,21.09705882,computer science,available
2443,Data and goliath: the hidden battles to collect your data and control your world,448,Paperback,210.0,computer science,available
2444,The cosmic landscape: string theory and the illusion of intelligent design,416,Hardcover,21.81470588,computer science,available
2445,Six degrees: the science of a connected age,384,Paperback,219.0,computer science,available
2446,Nine algorithms that changed the future: the ingenious ideas that drive today's computers,219,Hardcover,22.40882353,computer science,available
2447,The society of mind,336,Paperback,225.0,computer science,available
2448,Javascript: the good parts,153,Paperback,228.0,computer science,Issued
2449,The pattern on the stone: the simple ideas that make computers work,176,Paperback,22.82647059,computer science,available
2450,Accelerate: building and scaling high-performing technology organizations,257,Paperback,23.05,computer science,available
2451,Beginners guide on php programming: quick and easy guide to learn php with my-sql,410,Paperback,23.22647059,computer science,available
2452,The connection machine,190,Hardcover,23.23529412,computer science,Issued
2453,Agile retrospectives: making good teams great,170,Paperback,238.5,computer science,available
2454,Python programming books set: python programming for beginners & complete guide for python programming,446,Paperback,23.85882353,computer science,available
2455,"The phoenix project: a novel about it, devops, and helping your business win",345,Hardcover,24.25882353,computer science,available
2456,Agile web development with rails: a pragmatic guide,558,Paperback,240.0,computer science,available
2457,Scrum and xp from the trenches,140,Paperback,24.72352941,computer science,available
2458,A smarter way to learn javascript: the new approach that uses technology to cut your effort in half,343,Kindle Edition,24.83235294,computer science,available
2459,97 things every programmer should know: collective wisdom from the experts,258,Paperback,25.28235294,computer science,available
2460,Introduction to functional programming,293,Hardcover,25.30294118,computer science,available
2461,An introduction to functional programming through lambda calculus,336,Paperback,25.30294118,computer science,available
2463,"The strangest man: the hidden life of paul dirac, mystic of the atom",539,Hardcover,25.82352941,computer science,available
2464,Your first app: node.js,317,ebook,25.85588235,computer science,Issued
2465,Apprenticeship patterns: guidance for the aspiring software craftsman,176,Paperback,26.00882353,computer science,available
2466,"Python crash course: a hands-on, project-based introduction to programming",560,Paperback,26.34411765,computer science,available
2467,"Invent your own computer games with python, 3rd edition",370,Paperback,26.91764706,computer science,available
2468,The principles of object-oriented javascript,120,Kindle Edition,27.24411765,computer science,available
2469,Joel on software,384,Paperback,27.42941176,computer science,Issued
2470,Sams teach yourself javascript in 24 hours,442,Paperback,27.85,computer science,available
2471,The shape of inner space: string theory and the geometry of the universe's hidden dimensions,377,Hardcover,27.94117647,computer science,available
2472,Seven languages in seven weeks,328,Paperback,27.94117647,computer science,available
2473,Quality software management v 1 – systems thinking,336,Hardcover,28.46470588,computer science,available
2474,Python programming for beginners: quick and easy guide for python programmers,190,Paperback,29.02058824,computer science,available
2475,Manage your project portfolio,250,Paperback,29.21176471,computer science,Issued
2476,How google tests software,281,Paperback,29.83529412,computer science,available
2477,Code: the hidden language of computer hardware and software,400,Paperback,30.49117647,computer science,available
2478,Computability and logic,350,Paperback,31.01176471,computer science,available
2479,Eloquent javascript: a modern introduction to programming,224,Paperback,31.02058824,computer science,available
2480,Does god play dice?: the new mathematics of chaos,416,Paperback,31.22647059,computer science,available
2481,Learn java the easy way : a hands-on introduction to programming,312,Kindle Edition,31.48235294,computer science,available
2482,Make your own neural network: an in-depth visual introduction for beginners,316,Kindle Edition,31.74705882,computer science,Issued
2483,"The golden ticket: p, np, and the search for the impossible",176,Hardcover,32.84705882,computer science,Issued
2484,Pro git,290,Paperback,33.05882353,computer science,available
2485,Automate the boring stuff with python: practical programming for total beginners,479,Paperback,33.05882353,computer science,available
2486,Best of game programming gems,576,Hardcover,33.54411765,computer science,available
2487,Sams teach yourself mysql in 24 hours,368,Paperback,3400.0,computer science,available
2488,Algorithms unlocked,237,ebook,349.0,computer science,available
